anime_id	name	genre	type	episodes
591	Amaenaide yo!!	Comedy, Ecchi, Harem, Romance, Supernatural	TV	12
886	Amaenaide yo!! Katsu!!	Comedy, Ecchi, Harem, Romance, Supernatural	TV	12
1750	Amaenaide yo!! Katsu!!: Damasarenaide yo!!	Comedy, Ecchi, Romance, Supernatural	Special	1
1749	Amaenaide yo!!: Yasumanaide yo!!	Comedy, Ecchi, Romance, Supernatural	Special	1
1998	Amazing Nuts!	Adventure, Music, Police, Romance, Sci-Fi	Music	4
1223	Ame to Shoujo to Watashi no Tegami	Shoujo	ONA	1
810	Android Ana Maico 2010	Comedy, Drama, Sci-Fi, Seinen	TV	24
1351	Angel Cop	Action, Police, Sci-Fi	OVA	6
282	Angel Heart	Action, Drama, Mystery, Romance, Seinen	TV	50
1640	"Angel&#039;s Feather"	Drama, Fantasy, Romance, Sci-Fi, Shoujo, Shounen Ai, Supernatural	OVA	2
280	Animal Yokochou	Adventure, Comedy, Fantasy, Shoujo	TV	51
1797	Animation Seisaku Shinkou Kuromi-chan	Comedy, Drama, Parody	OVA	1
1798	Animation Seisaku Shinkou Kuromi-chan 2	Comedy, Drama, Parody	OVA	1
1244	Ankoku Shindenshou Takegami	Action, Drama, Mecha, Sci-Fi, Supernatural	OVA	3
1966	Ankoku Shinwa	Demons, Fantasy, Horror, Mystery, Psychological, Supernatural	OVA	2
1051	Ao no 6-gou	Action, Adventure, Mecha, Military, Sci-Fi	OVA	4
1586	Aoi Umi no Tristia	Adventure, Mecha	OVA	2
1327	Aoki Densetsu Shoot!	Action, Comedy, Drama, Romance, School, Shounen, Sports	TV	58
1233	Aozora Shoujo-tai	Action, Comedy, Military, Romance, Shounen	OVA	7
937	Appleseed	Action, Adventure, Mecha, Police, Sci-Fi	OVA	1
54	Appleseed (Movie)	Action, Drama, Mecha, Military, Police, Sci-Fi, Shounen	Movie	1
1268	"Aquarian Age: Saga II - Don&#039;t Forget Me..."	Action, Drama, Super Power	OVA	1
1224	Aquarian Age: Sign for Evolution	Action, Adventure, Fantasy, Music, Romance, Sci-Fi, Shounen, Super Power, Supernatural	TV	13
1202	Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo	Action, Adventure, Fantasy, Magic, Sci-Fi	OVA	1
1961	Arashi no Yoru ni	Adventure, Comedy, Drama, Fantasy	Movie	1
55	Arc the Lad	Action, Adventure, Fantasy, Horror, Sci-Fi	TV	26
1596	Arcade Gamer Fubuki	Action, Comedy, Ecchi, Parody, Shounen, Sports, Super Power	OVA	4
1488	Area 88	Action, Adventure, Drama, Military, Romance	OVA	3
284	Area 88 (TV)	Action, Drama, Military, Romance, Shounen	TV	12
1028	Arete Hime	Fantasy, Magic	Movie	1
285	Argento Soma	Action, Adventure, Drama, Mecha, Military, Sci-Fi	TV	25
1789	Argento Soma Special	Action, Mecha, Sci-Fi	Special	1
477	Aria The Animation	Fantasy, Sci-Fi, Shounen, Slice of Life	TV	13
962	Aria The Natural	Fantasy, Sci-Fi, Shounen, Slice of Life	TV	26
791	Arion	Action, Adventure, Drama, Fantasy, Magic, Seinen	Movie	1
1079	Armitage III	Action, Adventure, Mecha, Police, Romance, Sci-Fi	OVA	4
492	Armitage III: Dual-Matrix	Action, Adventure, Mecha, Sci-Fi	Movie	1
493	Armitage III: Poly-Matrix	Action, Adventure, Mecha, Military, Police, Romance, Sci-Fi	Movie	1
1762	Arslan Senki	Action, Adventure, Drama, Fantasy, Historical	OVA	6
1497	Aru Machi Kado no Monogatari	Drama, Music, Romance	Movie	1
1205	Aru Tabibito no Nikki	Adventure, Fantasy	ONA	6
231	Asagiri no Miko	Action, Comedy, Drama, Fantasy, Magic, School, Sci-Fi, Shounen, Slice of Life, Super Power, Supernatural	TV	26
1554	Asatte no Houkou.	Drama, Supernatural	TV	12
1946	Ashita no Nadja	Adventure, Drama, Historical, Romance, Shoujo	TV	50
971	Astro Boy: Tetsuwan Atom	Action, Adventure, Kids, Mecha, Sci-Fi, Shounen, Super Power	TV	50
1370	Atama Yama	Comedy, Dementia, Fantasy	Movie	1
1550	Attack No.1	Drama, Shoujo, Sports	TV	104
929	Aura Battler Dunbine	Adventure, Mecha, Sci-Fi	TV	49
56	Avenger	Adventure, Fantasy, Sci-Fi, Shounen	TV	13
586	Ayakashi: Japanese Classic Horror	Fantasy, Historical, Horror	TV	11
104	Ayashi no Ceres	Adventure, Comedy, Drama, Horror, Psychological, Romance, Shoujo, Supernatural	TV	24
1893	Azuki-chan	Comedy, Romance, Shoujo, Slice of Life	TV	117
66	Azumanga Daioh	Comedy, School, Slice of Life	TV	26
659	Azumanga Daioh: Gekijou Tanpen	Comedy, School, Slice of Life	Special	1
1593	Azumanga Web Daioh	Comedy, School, Slice of Life	ONA	1
286	"B&#039;T X"	Adventure, Mecha, Sci-Fi, Shounen	TV	25
1736	"B&#039;T X Neo"	Action, Adventure, Shounen	OVA	14
1666	Babel Nisei (1973)	Adventure, Sci-Fi, Shounen, Supernatural	TV	39
1665	Babel Nisei (1992)	Action, Mecha, Sci-Fi	OVA	4
1664	Babel Nisei (2001)	Action, Adventure, Mystery, Sci-Fi, Shounen, Supernatural	TV	13
722	Baby☆Love	Comedy, Romance	OVA	1
1576	Bakumatsu Kikansetsu Irohanihoheto	Action, Drama, Historical, Samurai	ONA	26
1779	Bakunyuu Shimai	Hentai	OVA	2
495	Bakuretsu Hunters	Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen, Supernatural	TV	26
808	Bakuretsu Hunters OVA	Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, Shounen, Super Power	OVA	3
109	Bakuretsu Tenshi	Adventure, Comedy, Mecha, Sci-Fi	TV	24
288	Bakuten Shoot Beyblade	Action, Adventure, Comedy, Sci-Fi, Shounen, Sports	TV	51
1669	Bakuten Shoot Beyblade 2002	Action, Adventure, Comedy, Sci-Fi, Shounen, Sports	TV	51
1668	Bakuten Shoot Beyblade G Revolution	Action, Adventure, Comedy, Sci-Fi, Shounen, Sports	TV	52
1670	Bakuten Shoot Beyblade the Movie: Gekitou!! Takao vs. Daichi	Action, Adventure, Comedy, Sci-Fi, Shounen, Sports	Movie	1
1682	Baldr Force Exe Resolution	Action, Drama, Mecha, Sci-Fi	OVA	4
373	Bannou Bunka Neko-Musume	Adventure, Comedy, Mecha, Sci-Fi, Seinen	OVA	6
375	Bannou Bunka Neko-Musume (1998)	Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen	TV	12
374	Bannou Bunka Neko-Musume DASH!	Action, Comedy, Ecchi, Romance, Sci-Fi	OVA	12
1468	Baoh Raihousha	Action, Martial Arts, Sci-Fi, Shounen, Space, Super Power	OVA	1
1667	Barom One	Action, Sci-Fi, Shounen, Supernatural	TV	13
1589	Bartender	Drama, Seinen, Slice of Life	TV	11
67	Basilisk: Kouga Ninpou Chou	Action, Adventure, Fantasy, Historical, Romance, Samurai, Supernatural	TV	24
404	Bastard!!: Ankoku no Hakaishin	Action, Adventure, Comedy, Ecchi, Fantasy, Seinen	OVA	6
1185	Battle Athletess Daiundoukai	Action, Comedy, Ecchi, Sci-Fi, Shounen, Space, Sports	OVA	6
1186	Battle Athletess Daiundoukai (TV)	Action, Adventure, Comedy, Drama, School, Sci-Fi, Shounen, Sports	TV	26
579	Battle Programmer Shirase	Comedy, Ecchi, Sci-Fi	TV	15
1009	Battle Spirits: Ryuuko no Ken	Action, Comedy, Martial Arts, Shounen	OVA	1
57	Beck	Comedy, Drama, Music, Shounen, Slice of Life	TV	26
8	Beet the Vandel Buster	Adventure, Fantasy, Shounen, Supernatural	TV	52
1123	Beet the Vandel Buster Excellion	Adventure, Fantasy, Shounen, Supernatural	TV	25
33	Berserk	Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural	TV	25
1136	Betterman	Action, Adventure, Comedy, Drama, Horror, Mecha, Mystery, Psychological, Sci-Fi, Shounen	TV	26
368	Bible Black	Hentai	OVA	6
972	Bible Black Gaiden	Hentai, Supernatural	OVA	2
1401	Bible Black: New Testament	Hentai	OVA	6
1214	Binbou Shimai Monogatari	Comedy, Drama, Seinen, Slice of Life	TV	10
750	Binchou-tan	Comedy, Slice of Life	TV	12
348	Binzume Yousei	Comedy, Fantasy, Magic, Slice of Life	TV	13
1269	Bio Hunter	Action, Demons, Horror	OVA	1
530	Bishoujo Senshi Sailor Moon	Demons, Magic, Romance, Shoujo	TV	46
740	Bishoujo Senshi Sailor Moon R	Demons, Magic, Romance, Shoujo	TV	43
531	Bishoujo Senshi Sailor Moon R: The Movie	Drama, Magic, Romance, Shoujo	Movie	1
532	Bishoujo Senshi Sailor Moon S	Drama, Magic, Romance, Shoujo	TV	38
997	Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito	Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo	Movie	1
1239	Bishoujo Senshi Sailor Moon SuperS	Drama, Magic, Romance, Shoujo	TV	39
1278	Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi	Comedy, Magic, Romance, Shoujo	Special	1
1240	Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki	Drama, Magic, Shoujo	Movie	1
996	Bishoujo Senshi Sailor Moon: Sailor Stars	Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo	TV	34
1528	Bishoujo Yuugekitai Battle Skipper	Comedy, Mecha, Sci-Fi	OVA	3
1498	Black Blood Brothers	Action, Comedy, Fantasy, Shounen, Supernatural, Vampire	TV	12
68	Black Cat	Adventure, Comedy, Sci-Fi, Shounen, Super Power	TV	23
1520	Black Jack	Drama	OVA	12
1373	Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki	Drama	Special	4
1521	Black Jack the Movie	Drama	Movie	1
1983	Black Jack: Futari no Kuroi Isha	Drama	Movie	1
889	Black Lagoon	Action, Seinen	TV	12
1519	Black Lagoon: The Second Barrage	Action, Seinen	TV	12
1270	Black Magic M-66	Action, Mecha, Military, Sci-Fi	OVA	1
1055	Blame!	Mecha, Sci-Fi	ONA	6
269	Bleach	Action, Comedy, Shounen, Super Power, Supernatural	TV	366
1686	Bleach Movie 1: Memories of Nobody	Action, Adventure, Super Power	Movie	1
762	Bleach: Memories in the Rain	Action, Adventure, Drama, Shounen, Supernatural	Special	1
834	Bleach: The Sealed Sword Frenzy	Adventure, Comedy, Drama, Fantasy, Shounen, Supernatural	Special	1
1386	Blood Royale	Hentai	OVA	2
405	Blood: The Last Vampire	Horror, Supernatural, Vampire	Movie	1
150	Blood+	Action, Drama, Horror, Military, Mystery, Supernatural, Vampire	TV	50
58	Blue Gender	Adventure, Drama, Horror, Mecha, Military, Romance, Sci-Fi, Space	TV	26
1380	Blue Gender: The Warrior	Adventure, Drama, Horror, Mecha, Military, Romance, Sci-Fi, Space	Movie	1
998	Blue Seed	Action, Adventure, Comedy, Demons, Drama, Ecchi, Horror, Mystery, Romance, Sci-Fi	TV	26
999	Blue Seed 2	Action, Comedy, Drama, Ecchi, Horror, Mystery, Sci-Fi, Supernatural	OVA	3
1050	Bobobo-bo Bo-bobo	Adventure, Comedy, Sci-Fi, Shounen	TV	76
526	Boku no Chikyuu wo Mamotte	Drama, Sci-Fi, Shoujo	OVA	6
1701	Boku no Marie	Comedy, Ecchi, Romance, Sci-Fi, Seinen	OVA	3
1639	Boku no Pico	Hentai, Yaoi	OVA	1
755	Boku no Sexual Harassment	Hentai, Yaoi	OVA	3
819	Boku wa Imouto ni Koi wo Suru	Romance, Shoujo	OVA	1
1216	Boku wa Konomama Kaeranai	Drama, Romance, Shounen Ai	OVA	1
1222	Bokura ga Ita	Drama, Romance, Shoujo, Slice of Life	TV	26
1690	Bokurano	Drama, Mecha, Psychological, Sci-Fi	TV	24
357	Bokusatsu Tenshi Dokuro-chan	Comedy, Ecchi, Magic	OVA	4
1672	Bomberman B-Daman Bakugaiden	Comedy, Sci-Fi, Shounen	TV	48
1673	Bomberman B-Daman Bakugaiden V	Sci-Fi, Shounen	TV	50
751	Bomberman Jetters	Action, Adventure, Comedy, Mystery, Sci-Fi, Shounen	TV	52
369	Boogiepop wa Warawanai: Boogiepop Phantom	Dementia, Drama, Horror, Mystery, Psychological, Supernatural	TV	12
159	Boukyaku no Senritsu	Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural	TV	24
1811	Bounty Dog: Getsumen no Ibu	Action, Sci-Fi, Space	OVA	2
105	Boys Be...	Comedy, Romance, Shounen, Slice of Life	TV	13
1542	Brain Powerd	Action, Adventure, Mecha, Sci-Fi	TV	26
1681	Brave Story	Action, Adventure, Fantasy, Kids, Magic, Supernatural	Movie	1
1450	Brigadoon: Marin to Melan	Adventure, Comedy, Drama, Mecha, Sci-Fi	TV	26
1042	Bronze: Zetsuai Since 1989	Drama, Music, Romance, Sports, Yaoi	OVA	1
1348	Bubblegum Crash	Action, Adventure, Mecha, Sci-Fi, Shounen	OVA	3
1347	Bubblegum Crisis	Adventure, Mecha, Sci-Fi, Shounen	OVA	8
568	Bubblegum Crisis Tokyo 2040	Adventure, Mecha, Sci-Fi, Shounen	TV	26
1776	Bulg-eunmae	Martial Arts, Super Power	Movie	1
370	Burn Up Excess	Action, Adventure, Comedy, Ecchi, Police, Sci-Fi, Shounen	TV	13
693	Burn Up Scramble	Action, Comedy, Drama, Ecchi, Police, Sci-Fi, Shounen	TV	12
767	Burn Up!	Action, Comedy, Ecchi, Police, Sci-Fi	OVA	1
769	Burn Up! W	Comedy, Ecchi, Mecha, Sci-Fi, Shounen	OVA	4
1536	Busou Renkin	Action, Comedy, Fantasy, School, Shounen, Supernatural	TV	26
458	Buttobi!! CPU	Comedy, Ecchi, Magic, Sci-Fi, Seinen	OVA	3
406	Buzzer Beater	Shounen, Sports	TV	13
1689	Byousoku 5 Centimeter	Drama, Romance, Slice of Life	Movie	3
1657	Byston Well Monogatari: Garzey no Tsubasa	Fantasy	OVA	3
1275	Can Can Bunny Extra	Fantasy, Hentai, Romance	OVA	6
723	Candy Candy (Movie)	Drama, Shoujo, Slice of Life	Movie	1
694	Canvas 2: Niji-iro no Sketch	Comedy, Drama, Romance, Slice of Life	TV	24
695	Canvas: Sepia-iro no Motif	Comedy, Romance, Slice of Life	OVA	2
388	Capeta	Cars, Shounen, Sports	TV	52
1674	Captain Tsubasa J	Action, Shounen, Sports	TV	47
1614	Captain Tsubasa: Road to 2002	Action, Shounen, Sports	TV	52
232	Cardcaptor Sakura	Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo	TV	70
371	Cardcaptor Sakura Movie 1	Comedy, Drama, Fantasy, Magic, Shoujo	Movie	1
372	Cardcaptor Sakura Movie 2: Fuuin Sareta Card	Comedy, Drama, Fantasy, Magic, Romance, Shoujo	Movie	1
1078	Cardcaptor Sakura: Leave It to Kero-chan	Comedy	Movie	1
1598	Casshern: Robot Hunter	Adventure, Mecha, Sci-Fi	OVA	4
1828	Catblue: Dynamite	Action, Fantasy	ONA	1
1049	Cello Hiki no Gauche (1982)	Drama, Fantasy, Kids, Music	Movie	1
978	Change!! Getter Robo: Sekai Saigo no Hi	Action, Adventure, Horror, Mecha, Psychological, Sci-Fi, Shounen	OVA	13
951	Chibi Maruko-chan	Comedy, Shoujo, Slice of Life	TV	142
831	Chicchana Yukitsukai Sugar	Comedy, Fantasy, Slice of Life	TV	24
1014	Chicchana Yukitsukai Sugar Specials	Comedy, Magic, Shoujo, Slice of Life	Special	2
310	Chiisana Obake Acchi, Kocchi, Socchi	Comedy, Supernatural	TV	50
753	Chijoku Shinsatsushitsu	Hentai	OVA	2
1962	Chikyuu Bouei Kazoku	Action, Comedy, Sci-Fi, Shounen	TV	13
1312	Chikyuu Bouei Kigyou Dai-Guard	Adventure, Comedy, Mecha, Military, Sci-Fi	TV	26
812	Chikyuu Shoujo Arjuna	Adventure, Drama, Magic, Sci-Fi	TV	13
1228	Chivas 1-2-3	Action, Comedy, Ecchi, Fantasy, Supernatural	OVA	2
59	Chobits	Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen	TV	26
1311	Chobits Recap	Comedy, Drama, Ecchi, Romance, Sci-Fi	Special	1
596	Chobits: Chibits	Comedy, Romance	Special	1
1219	Chocotto Sister	Comedy, Drama, Romance	TV	24
1069	Chou Denji Machine Voltes V	Action, Adventure, Drama, Mecha, Sci-Fi, Shounen	TV	40
1068	Chou Denji Robo Combattler V	Adventure, Mecha, Sci-Fi, Shounen	TV	54
112	Chou Henshin Cosprayers	Action, Adventure, Comedy, Ecchi, Fantasy, Magic, Sci-Fi, Super Power	TV	8
765	Chou Henshin Cosprayers Specials	Adventure, Comedy, Magic, Sci-Fi	Special	3
705	Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie	Adventure, Comedy, Magic, Sci-Fi	Movie	1
1992	Chou Kousoku Gran Doll	Action, Comedy, Mecha, School	OVA	3
1560	Choujin Gakuen Gowcaizer: The Voltage Fighters	Action, Ecchi, Martial Arts, Sci-Fi, Shounen	OVA	3
1283	Choujuu Densetsu Gestalt	Adventure, Comedy, Fantasy, Shoujo	OVA	2
833	Choujuushin Gravion	Action, Comedy, Mecha, Sci-Fi, Shounen	TV	13
1149	Choujuushin Gravion Zwei	Adventure, Comedy, Mecha, Sci-Fi, Shounen	TV	12
1780	Choukou Tenshi Escalayer	Demons, Hentai, Sci-Fi, Super Power	OVA	3
1627	Choushin Hime Dangaizer 3	Adventure, Ecchi, Mecha, Sci-Fi	OVA	4
60	Chrno Crusade	Action, Demons, Historical, Romance, Supernatural	TV	24
110	Chuuka Ichiban!	Action, Comedy, Drama, Shounen	TV	52
301	Cinderella Boy	Action, Adventure, Comedy, Mystery	TV	13
1470	City Hunter	Action, Comedy, Mystery, Shounen	TV	51
1473	"City Hunter &#039;91"	Action, Comedy, Mystery, Shounen	TV	13
1471	City Hunter 2	Action, Comedy, Mystery, Shounen	TV	63
1472	City Hunter 3	Action, Comedy, Mystery, Shounen	TV	13
1474	City Hunter: Ai to Shukumei no Magnum	Action, Comedy, Mystery, Shounen	Movie	1
1475	City Hunter: Bay City Wars	Action, Comedy, Mystery, Shounen	Movie	1
1478	City Hunter: Goodbye My Sweetheart	Adventure, Comedy, Shounen	Special	1
1476	City Hunter: Hyakuman Dollar no Inbou	Action, Comedy, Mystery, Shounen	OVA	1
1479	City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo	Shounen	Special	1
1477	City Hunter: The Secret Service	Action, Comedy, Mystery, Shounen	Special	1
1844	CLAMP Gakuen Tanteidan	Action, Comedy, Mystery	TV	26
1723	Clannad Movie	Drama, Fantasy, Romance, School	Movie	1
1818	Claymore	Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural	TV	26
1890	Clover	Drama, Fantasy, Music, Sci-Fi, Shoujo	Music	1
69	Cluster Edge	Action, Fantasy, Military, Sci-Fi	TV	25
1575	Code Geass: Hangyaku no Lelouch	Action, Mecha, Military, School, Sci-Fi, Super Power	TV	25
1953	Code Geass: Hangyaku no Lelouch Picture Drama	Comedy, School, Slice of Life	Special	9
841	Colorful	Comedy, Ecchi, Slice of Life	TV	16
289	Comic Party	Comedy, Drama	TV	13
706	Comic Party Revolution	Comedy, Drama	TV	13
707	Comic Party Specials	Comedy, Drama	Special	4
1339	Cool Devices	Hentai	OVA	11
111	Corrector Yui	Adventure, Comedy, Magic, Sci-Fi	TV	52
1676	Cosmo Warrior Zero	Action, Adventure, Military, Sci-Fi, Space	TV	13
1677	Cosmo Warrior Zero Gaiden	Adventure, Drama, Military, Sci-Fi, Space	Special	2
982	Cosplay Complex	Comedy, Ecchi, Parody, School	OVA	3
983	Cosplay Complex: Extra Identification	Comedy	OVA	1
514	Cossette no Shouzou	Drama, Horror, Magic, Psychological, Romance, Supernatural	OVA	3
1512	Court no Naka no Tenshi-tachi	Hentai, School, Sports	OVA	2
1	Cowboy Bebop	Action, Adventure, Comedy, Drama, Sci-Fi, Space	TV	26
5	Cowboy Bebop: Tengoku no Tobira	Action, Drama, Mystery, Sci-Fi, Space	Movie	1
1194	Coyote Ragtime Show	Action, Adventure, Comedy, Mecha, Sci-Fi, Shounen	TV	12
966	Crayon Shin-chan	Comedy, Ecchi, Kids, School, Shounen, Slice of Life	TV	Unknown
1153	Crying Freeman	Action, Drama, Martial Arts, Police, Romance, Seinen	OVA	6
1661	Cutey Honey	Action, Adventure, School, Sci-Fi	TV	25
1853	Cutey Honey F	Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo	TV	39
1352	Cyber City Oedo 808	Action, Adventure, Police, Sci-Fi	OVA	3
1678	Cyborg 009: The Cyborg Soldier	Action, Adventure, Mecha, Sci-Fi, Shounen	TV	52
62	D.C.: Da Capo	Drama, Harem, Magic, Romance	TV	26
291	D.C.S.S: Da Capo Second Season	Comedy, Drama, Harem, Romance, Supernatural	TV	26
1482	D.Gray-man	Action, Adventure, Comedy, Shounen	TV	103
61	D.N.Angel	Action, Comedy, Fantasy, Magic, Romance, School, Shoujo	TV	26
233	Daa! Daa! Daa!	Comedy, Sci-Fi, Shoujo	TV	78
1778	"Dae Jang Geum: Jang Geum&#039;s Dream"	Adventure, Comedy, Historical	TV	26
933	Dai Mahou Touge	Comedy, Magic, Supernatural	OVA	4
1841	Dai Mahou Touge Omake	Comedy	Special	4
956	Daikuu Maryuu Gaiking	Adventure, Mecha, Sci-Fi, Shounen	TV	44
1819	Daimajuu Gekitou: Hagane no Oni	Horror, Mecha, Sci-Fi	OVA	1
485	Damekko Doubutsu	Comedy	TV	26
234	Dan Doh!!	Adventure, Shounen, Sports	TV	26
1494	Darkside Blues	Horror, Mystery, Psychological, Sci-Fi	Movie	1
1529	De:vadasy	Action, Ecchi, Mecha, Psychological	OVA	3
974	Dead Leaves	Adventure, Comedy, Psychological, Sci-Fi	Movie	1
292	Dear Boys	Drama, Shounen, Sports	TV	26
63	DearS	Comedy, Ecchi, Harem, Romance, Sci-Fi	TV	12
1817	DearS: Kin no Tama desu no?	Comedy, Ecchi, Harem, Romance, Sci-Fi	Special	1
1535	Death Note	Mystery, Police, Psychological, Supernatural, Thriller	TV	37
1826	Deltora Quest	Adventure, Fantasy, Kids	TV	65
1221	Demashita! Powerpuff Girls Z	Action, Comedy, Magic, School, Sci-Fi, Shoujo, Slice of Life, Super Power	TV	52
930	Densetsu Kyojin Ideon	Drama, Mecha, Sci-Fi, Space	TV	39
660	Denshin Mamotte Shugogetten	Comedy, Fantasy, Magic, Romance, Shounen	OVA	8
235	Detective Conan	Adventure, Comedy, Mystery, Police, Shounen	TV	Unknown
779	Detective Conan Movie 01: The Timed Skyscraper	Adventure, Comedy, Mystery, Police, Shounen	Movie	1
